subparam,unit1,value1,unit2,value2,modelname,modelid,specifications.topparam
Steering,,Meets SAE and ISO standards,,Meets SAE and ISO standards,988H Steel Mill Arrangement,113252,Steering
Total Steering Angle,degrees,74,degrees,74,988H Steel Mill Arrangement,113252,Steering
Converter Drive - Forward 3,mph,12.9,km/h,20.8,988H Steel Mill Arrangement,113252,Transmission
Converter Drive - Reverse 3,mph,14.7,km/h,23.7,988H Steel Mill Arrangement,113252,Transmission
Direct Drive - Forward 1,,Lock-up disabled,,Lock-up disabled,988H Steel Mill Arrangement,113252,Transmission
Converter Drive - Forward 4,mph,22.3,km/h,35.9,988H Steel Mill Arrangement,113252,Transmission
Converter Drive - Forward 1,mph,4.2,km/h,6.8,988H Steel Mill Arrangement,113252,Transmission
Converter Drive - Forward 2,mph,7.3,km/h,11.8,988H Steel Mill Arrangement,113252,Transmission
Direct Drive - Reverse 1,mph,4.9,km/h,7.9,988H Steel Mill Arrangement,113252,Transmission
Converter Drive - Reverse 1,mph,4.7,km/h,7.6,988H Steel Mill Arrangement,113252,Transmission
Converter Drive - Reverse 2,mph,8.4,km/h,13.6,988H Steel Mill Arrangement,113252,Transmission
Operating Weight,lb,128328,kg,58208.7,988H Steel Mill Arrangement,113252,Weights
Bucket Capacities,,6.4-7.7 m3 (8.3-10 yd3),,6.4-7.7 m3 (8.3-10 yd3),988H Steel Mill Arrangement,113252,Buckets
Front,,Fixed,,Fixed,988H Steel Mill Arrangement,113252,Axles
Rear,,Oscillating 13 degrees,,Oscillating 13 degrees,988H Steel Mill Arrangement,113252,Axles
Maximum Single-Wheel Rise And Fall,in,22.4,mm,569,988H Steel Mill Arrangement,113252,Axles
Brakes,,Meet SAE/ISO 3450:1996,,Meet SAE/ISO 3450:1996,988H Steel Mill Arrangement,113252,Brakes
Tipping Load - Straight,lb,74651,kg,33861.2,988H Steel Mill Arrangement,113252,Operating Specifications
Attachment Type,,9 yd3 Rock Bucket,,9 yd3 Rock Bucket,988H Steel Mill Arrangement,113252,Operating Specifications
"Hinge Pin Height, Unloaded",ft in,16.2,m,5,988H Steel Mill Arrangement,113252,Operating Specifications
Overall Length,ft in,40.8,m,12.5,988H Steel Mill Arrangement,113252,Operating Specifications
Turning Radius - Sae Carry,ft in,28.8,m,8.8,988H Steel Mill Arrangement,113252,Operating Specifications
Tipping Load - Articulated 43 Degrees,lb,66602,kg,30210.2,988H Steel Mill Arrangement,113252,Operating Specifications
Breakout Force - Sae Rated (3.88 M Linkage),lb,45977,kg,20854.9,988H Steel Mill Arrangement,113252,Operating Specifications
Breakout Force - Sae Rated (4.25 M Linkage),lb,116780,kg,52970.6,988H Steel Mill Arrangement,113252,Operating Specifications
Cooling System,gal,27.2,L,103,988H Steel Mill Arrangement,113252,Service Refill Capacities
Fuel Tank,gal,188,L,711.7,988H Steel Mill Arrangement,113252,Service Refill Capacities
Crankcase,gal,15.9,L,60.2,988H Steel Mill Arrangement,113252,Service Refill Capacities
Transmission,gal,18.5,L,70.1,988H Steel Mill Arrangement,113252,Service Refill Capacities
Differential - Final Drives - Front,gal,49,L,185.5,988H Steel Mill Arrangement,113252,Service Refill Capacities
Differential - Final Drives - Rear,gal,49,L,185.5,988H Steel Mill Arrangement,113252,Service Refill Capacities
Hydraulic System Factory Fill,gal,124.2,L,470.2,988H Steel Mill Arrangement,113252,Service Refill Capacities
Hydraulic System - Tank Only,gal,70.5,L,266.9,988H Steel Mill Arrangement,113252,Service Refill Capacities
Cab - Rops/Fops,,Meets SAE and ISO standards,,Meets SAE and ISO standards,988H Steel Mill Arrangement,113252,Cab
Sound Performance,,"Meets ANSI, SAE and ISO standards",,"Meets ANSI, SAE and ISO standards",988H Steel Mill Arrangement,113252,Cab
Relief Valve Setting,,5075 psi,,5075 psi,988H Steel Mill Arrangement,113252,Loader Hydraulic System
"Cylinders, Double Acting - Lift, Bore And Stroke",,220  911 mm (8.7  35.9 in),,220  911 mm (8.7  35.9 in),988H Steel Mill Arrangement,113252,Loader Hydraulic System
"Cylinders, Double Acting - Tilt, Bore And Stroke",,220  1770 mm (8.7  69.7 in),,220  1770 mm (8.7  69.7 in),988H Steel Mill Arrangement,113252,Loader Hydraulic System
Relief Valve Setting - Low Idle,,348.1 psi,,348.1 psi,988H Steel Mill Arrangement,113252,Loader Hydraulic System
Main Hydraulic System Output At 2010 Rpm And 6900 Kpa (1000 Psi),,130 gal/min,,130 gal/min,988H Steel Mill Arrangement,113252,Loader Hydraulic System
"Pilot System - Gear-Type Pump Output At 2,010 Rpm And 2500 Kpa (363 Psi)",,20.1 gal/min,,20.1 gal/min,988H Steel Mill Arrangement,113252,Loader Hydraulic System
Net Power,hp,373,kw,278.2,986K Block Handler Arrangement,113253,Engine
Displacement,cu in,927,L,15.2,986K Block Handler Arrangement,113253,Engine
Torque Rise,%,16,%,16,986K Block Handler Arrangement,113253,Engine
Bore,in,5.4,mm,137.2,986K Block Handler Arrangement,113253,Engine
Stroke,in,6.8,mm,171.5,986K Block Handler Arrangement,113253,Engine
Emissions,,"U.S. EPA Tier 4 Final/EU StageIV, or China Nonroad Stage III and Brazil MAR-1 and equivalent to U.S.Tier 3 and EU Stage IIIA",,"U.S. EPA Tier 4 Final/EU StageIV, or China Nonroad Stage III and Brazil MAR-1 and equivalent to U.S.Tier 3 and EU Stage IIIA",986K Block Handler Arrangement,113253,Engine
Engine Model,,Cat C15 ACERT,,Cat C15 ACERT,986K Block Handler Arrangement,113253,Engine
Gross Power - Iso 14396,hp,449,kw,334.9,986K Block Handler Arrangement,113253,Engine
"Peak Torque - 1,200 Rpm - Sae J1995",lb ft,1778,Nm,2410.7,986K Block Handler Arrangement,113253,Engine
"Peak Power Speed - 1,600 Rpm - Sae J1995 (Din)",hp,462,kw,344.6,986K Block Handler Arrangement,113253,Engine
"Peak Power Speed - 1,600 Rpm - Iso 14396",hp,449,kw,334.9,986K Block Handler Arrangement,113253,Engine
"Peak Power Speed - 1,600 Rpm - Iso 14396 (Din)",hp,455,kw,339.3,986K Block Handler Arrangement,113253,Engine
"Rated Speed - 2,000 Rpm - Eec 80/1269",hp,373,kw,278.2,986K Block Handler Arrangement,113253,Engine
"Rated Speed - 2,000 Rpm - Eec 80/1269 (Din)",hp,378,kw,281.9,986K Block Handler Arrangement,113253,Engine
"Rated Speed - 2,000 Rpm - Iso 9249",hp,373,kw,278.2,986K Block Handler Arrangement,113253,Engine
"Rated Speed - 2,000 Rpm - Iso 9249 (Din)",hp,378,kw,281.9,986K Block Handler Arrangement,113253,Engine
"Rated Speed - 2,000 Rpm - Sae J1349",hp,373,kw,278.2,986K Block Handler Arrangement,113253,Engine
"Rated Speed - 2,000 Rpm - Sae J1349 (Din)",hp,378,kw,281.9,986K Block Handler Arrangement,113253,Engine
"Peak Power Speed - 1,600 Rpm - Sae J1995",hp,456,kw,340.1,986K Block Handler Arrangement,113253,Engine
Operating Weight,lb,116688,kg,52928.8,986K Block Handler Arrangement,113253,Operational
Transmission Type,,Cat Planetary Power Shift,,Cat Planetary Power Shift,986K Block Handler Arrangement,113253,Transmission
Forward - 1,mph,5,km/h,8.1,986K Block Handler Arrangement,113253,Transmission
Forward - 2,mph,8,km/h,12.9,986K Block Handler Arrangement,113253,Transmission
Reverse - 1,mph,5,km/h,8.1,986K Block Handler Arrangement,113253,Transmission
Reverse - 2,mph,8,km/h,12.9,986K Block Handler Arrangement,113253,Transmission
Direct Drive - Forward 3,mph,14,km/h,22.6,986K Block Handler Arrangement,113253,Transmission
Direct Drive - Reverse 3,mph,16,km/h,25.8,986K Block Handler Arrangement,113253,Transmission
Direct Drive - Forward 4,mph,24,km/h,38.7,986K Block Handler Arrangement,113253,Transmission
Direct Drive - Forward 2,mph,8,km/h,12.9,986K Block Handler Arrangement,113253,Transmission
Direct Drive - Reverse 2,mph,9,km/h,14.5,986K Block Handler Arrangement,113253,Transmission
Direct Drive - Reverse 4,mph,25.4,km/h,40.9,986K Block Handler Arrangement,113253,Transmission
Bucket Capacities,,5.4 m (7 yd),,5.4 m (7 yd),986K Block Handler Arrangement,113253,Buckets
Front,,Fixed,,Fixed,986K Block Handler Arrangement,113253,Axles
Rear,,Trunnion,,Trunnion,986K Block Handler Arrangement,113253,Axles
Oscillation Angle,,12.5 degrees,,12.5 degrees,986K Block Handler Arrangement,113253,Axles
Oscillation Angle - Chain Arrangement,,8.5 degrees,,8.5 degrees,986K Block Handler Arrangement,113253,Axles
Brakes,,ISO 3450:2011,,ISO 3450:2011,986K Block Handler Arrangement,113253,Brakes
Fuel Tank,gal,116,L,439.2,986K Block Handler Arrangement,113253,Service Refill Capacities
Crankcase,gal,9,L,34.1,986K Block Handler Arrangement,113253,Service Refill Capacities
Transmission,gal,20,L,75.8,986K Block Handler Arrangement,113253,Service Refill Capacities
Hydraulic System Factory Fill,gal,87,L,329.4,986K Block Handler Arrangement,113253,Service Refill Capacities
Hydraulic System - Tank Only,gal,34,L,128.8,986K Block Handler Arrangement,113253,Service Refill Capacities
Cooling Systems,gal,26,L,98.5,986K Block Handler Arrangement,113253,Service Refill Capacities
Diesel Exhaust Fluid Tank (For Tier 4 Final/Stage Iv Only),gal,6,L,22.8,986K Block Handler Arrangement,113253,Service Refill Capacities
Axle Oil - Differentials And Final Drives - Front,gal,49,L,185.5,986K Block Handler Arrangement,113253,Service Refill Capacities
Axle Oil - Differentials And Final Drives - Rear,gal,45,L,170.4,986K Block Handler Arrangement,113253,Service Refill Capacities
Raise,,8.5 s,,8.5 s,986K Block Handler Arrangement,113253,Hydraulic Cycle Times
Dump,,3 s,,3 s,986K Block Handler Arrangement,113253,Hydraulic Cycle Times
Lower Float Down,,4.3 s,,4.3 s,986K Block Handler Arrangement,113253,Hydraulic Cycle Times
Rack Back,,4.5 s,,4.5 s,986K Block Handler Arrangement,113253,Hydraulic Cycle Times
Lower,,4.9 s,,4.9 s,986K Block Handler Arrangement,113253,Hydraulic Cycle Times
Total Hydraulic Cycle Time,,15.8 s,,15.8 s,986K Block Handler Arrangement,113253,Hydraulic Cycle Times
Lift/Tilt System - Circuit,,Load Sense,,Load Sense,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Lift/Tilt System - Pump,,2  110 cc variable displacement,,2  110 cc variable displacement,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Relief Valve Setting - Lift/Tilt,,4050 psi,,4050 psi,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
"Maximum Flow At 2,165 Rpm",,123 gal/min,,123 gal/min,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Tilt Cylinder - Stroke,in,22.4,mm,569,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Lift Cylinder - Bore,in,7.5,mm,190.5,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Lift Cylinder - Stroke,in,45,mm,1143,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Tilt Cylinder - Bore,in,6.7,mm,170.2,986K Block Handler Arrangement,113253,Hydraulic System - Lift/Tilt
Iso 5010:2007 - Steering System - Circuit,,Load Sense,,Load Sense,986K Block Handler Arrangement,113253,Hydraulic System - Steering
Iso 5010:2007 - Steering System - Pump,,"Piston, variable displacement",,"Piston, variable displacement",986K Block Handler Arrangement,113253,Hydraulic System - Steering
Iso 5010:2007 - Total Steering Angle,,70 degrees,,70 degrees,986K Block Handler Arrangement,113253,Hydraulic System - Steering
"Iso 5010:2007 - Maximum Flow At 1,400 Rpm",,52 gal/min,,52 gal/min,986K Block Handler Arrangement,113253,Hydraulic System - Steering
Iso 5010:2007 - Steering Cutoff Pressure,,4000 psi,,4000 psi,986K Block Handler Arrangement,113253,Hydraulic System - Steering
Air Conditioning,,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.8 kg of refrigerant which has a CO2 equivalent of 2.574 metric tonnes.,,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.8 kg of refrigerant which has a CO2 equivalent of 2.574 metric tonnes.,986K Block Handler Arrangement,113253,Air Conditioning System
Ground To Top Of Rops,ft in,13.5,m,4.2,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Ground To Top Of Exhaust Stacks,ft in,13.3,m,4.1,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Ground To Top Of Hood,ft in,10.7,m,3.3,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Ground To Center Of Rear Axle,ft in,3.2,m,1,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Ground To Fuel Tank Clearance,ft in,2.3,m,0.8,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Ground To Lower Hitch Clearance,ft in,1.5,m,0.5,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Reach At Maximum Lift,ft in,8,m,2.5,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Clearance At Maximum Lift,ft in,10.7,m,3.3,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
B-Pin Height At Maximum Lift,ft in,15,m,4.6,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
"Maximum Overall Height, Bucket Raised",ft in,20.9,m,6.4,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Rear Axle Center Line To Bumper,ft in,10.3,m,3.2,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Wheel Base,ft in,12.5,m,3.9,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Maximum Overall Length,ft in,35,m,10.7,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Front Axle Centerline To Bucket Tip,ft in,12.2,m,3.8,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And 6.1 M³ (8.0 Yd³) Bucket
Ground To Top Of Rops,ft in,13.5,m,4.2,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Ground To Top Of Exhaust Stacks,ft in,13.3,m,4.1,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Ground To Top Of Hood,ft in,10.7,m,3.3,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Ground To Center Of Rear Axle,ft in,3.2,m,1,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Ground To Fuel Tank Clearance,ft in,2.3,m,0.8,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Ground To Lower Hitch Clearance,ft in,1.5,m,0.5,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
B-Pin Height At Maximum Lift,ft in,15,m,4.6,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Rear Axle Center Line To Bumper,ft in,10.3,m,3.2,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Wheel Base,ft in,12.5,m,3.9,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Maximum Overall Length,ft in,35.4,m,10.8,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
Front Axle Centerline To Bucket Tip,ft in,12.6,m,3.9,986K Block Handler Arrangement,113253,Dimensions (Approximate) - Quick Coupler And Fork
