subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Cab - Declared Dynamic Operator Sound Pressure Level,"<ul><li>The declared dynamic operator sound pressure level when ""ISO 6396:2008"" is used to measure the value for an enclosed cab is 75 dB(A). The measurements were conducted at 80% of the maximum engine cooling fan speed. The sound level may vary at different engine cooling fan speeds. The cab was properly installed and maintained. The measurements were conducted with the cab doors and the cab windows closed.</li><li>NOTE: The dynamic operator sound pressure level uncertainty is  2 dB(A).</li></ul>","<ul><li>The declared dynamic operator sound pressure level when ""ISO 6396:2008"" is used to measure the value for an enclosed cab is 75 dB(A). The measurements were conducted at 80% of the maximum engine cooling fan speed. The sound level may vary at different engine cooling fan speeds. The cab was properly installed and maintained. The measurements were conducted with the cab doors and the cab windows closed.</li><li>NOTE: The dynamic operator sound pressure level uncertainty is  2 dB(A).</li></ul>",,,973K Steel Mill,114087,Standards
Cab - Hearing Protection,"Hearing protection may be needed when the machine is operated with an open operator station for extended periods, in a noisy environment or with a cab that is not properly maintained.","Hearing protection may be needed when the machine is operated with an open operator station for extended periods, in a noisy environment or with a cab that is not properly maintained.",,,973K Steel Mill,114087,Standards
Cab - Labeled Sound Power Level,"The guaranteed exterior sound power level (LWA) is measured according to the dynamic test procedures and the conditions that are specified in ""ISO 6395:2008"" [111 dB(A)]. The measurements were conducted at 80% of the maximum engine cooling fan speed. The sound level may vary at different engine cooling fan speeds.","The guaranteed exterior sound power level (LWA) is measured according to the dynamic test procedures and the conditions that are specified in ""ISO 6395:2008"" [111 dB(A)]. The measurements were conducted at 80% of the maximum engine cooling fan speed. The sound level may vary at different engine cooling fan speeds.",,,973K Steel Mill,114087,Standards
Sound Level Information (Eu),"<ul><li>Sound Level Information for Machines in European Union Countries and in Countries that Adopt the ""EU Directives"": The declared dynamic operator sound pressure level when ""ISO 6396:2008"" is used to measure the value for an enclosed cab is 75 dB(A). The measurements were conducted at 80 percent of the maximum engine cooling fan speed. The sound level may vary at different engine cooling fan speeds. The cab was properly installed and maintained. The measurements were conducted with the cab doors and the cab windows closed.</li><li>NOTE: The dynamic operator sound pressure level uncertainty is  2 dB(A).</li><li>If equipped, the certification label is used to verify the environmental sound certification of the machine to the requirements of the European Union. The value that is listed on the label indicates the guaranteed exterior sound power level (LWA) at the time of manufacture for the conditions that are specified in ""2000/14/EC.""</li></ul>","<ul><li>Sound Level Information for Machines in European Union Countries and in Countries that Adopt the ""EU Directives"": The declared dynamic operator sound pressure level when ""ISO 6396:2008"" is used to measure the value for an enclosed cab is 75 dB(A). The measurements were conducted at 80 percent of the maximum engine cooling fan speed. The sound level may vary at different engine cooling fan speeds. The cab was properly installed and maintained. The measurements were conducted with the cab doors and the cab windows closed.</li><li>NOTE: The dynamic operator sound pressure level uncertainty is  2 dB(A).</li><li>If equipped, the certification label is used to verify the environmental sound certification of the machine to the requirements of the European Union. The value that is listed on the label indicates the guaranteed exterior sound power level (LWA) at the time of manufacture for the conditions that are specified in ""2000/14/EC.""</li></ul>",,,973K Steel Mill,114087,Standards
Air Conditioning,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.9 kg of refrigerant which has a CO2 equivalent of 2.717 metric tonnes.,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.9 kg of refrigerant which has a CO2 equivalent of 2.717 metric tonnes.,,,973K Steel Mill,114087,Air Conditioning System
Emissions,Tier 4 Final/Stage IV/Korea Tier 4,Tier 4 Final/Stage IV/Korea Tier 4,,,973K,114089,Engine
Engine Model,Cat C9.3 ACERT,Cat C9.3 ACERT,,,973K,114089,Engine
Flywheel Power,275,205.1,hp,kw,973K,114089,Engine
Note (1),"All nonroad Tier 4 Interim and Final, Stage IIIB and IV and Korea Tier 4 Final diesel engines are required to use only Ultra Low Sulfur Diesel (ULSD) with 15 ppm (mg/kg) of sulfur or less, or up to B20 biodiesel blended with ULSD. B20 should meet ASTM D7467 specification (biodiesel blend stock should meet Cat biodiesel spec, ASTM D6751 or EN 14214). Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specification are required. Consult your OMM for further machine specific fuel recommendations.","All nonroad Tier 4 Interim and Final, Stage IIIB and IV and Korea Tier 4 Final diesel engines are required to use only Ultra Low Sulfur Diesel (ULSD) with 15 ppm (mg/kg) of sulfur or less, or up to B20 biodiesel blended with ULSD. B20 should meet ASTM D7467 specification (biodiesel blend stock should meet Cat biodiesel spec, ASTM D6751 or EN 14214). Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specification are required. Consult your OMM for further machine specific fuel recommendations.",,,973K,114089,Engine
Note (2),Diesel Exhaust Fluid (DEF) used in Cat Selective Catalytic Reduction (SCR) systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241.,Diesel Exhaust Fluid (DEF) used in Cat Selective Catalytic Reduction (SCR) systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241.,,,973K,114089,Engine
Net Power - Iso 9249/Sae J1349 (Din),278,207.4,hp,kw,973K,114089,Engine
Net Power - Iso 9249/Sae J1349,275,205.1,hp,kw,973K,114089,Engine
Operating Weight,63900,28984.6,lb,kg,973K,114089,Operational
Operating Weight - Steel Mill,72102,32705,lb,kg,973K,114089,Weights
Operating Weight - Waste Handler,64319,29174.7,lb,kg,973K,114089,Weights
Operating Weight - Wide Gauge,71218,32304,lb,kg,973K,114089,Weights
Capacity - General Purpose,4.2,3.3,yd3,m3,973K,114089,Buckets
Capacity - Multi-Purpose,4,3.1,yd3,m3,973K,114089,Buckets
Capacity - Performance Series,5,3.9,yd3,m3,973K,114089,Buckets
Width - General Purpose,117,2971.8,in,mm,973K,114089,Buckets
Width - Performance Series,117,2971.8,in,mm,973K,114089,Buckets
Width - Multi-Purpose,116,2946.4,in,mm,973K,114089,Buckets
Width - Slag,112,2844.8,in,mm,973K,114089,Buckets
Capacity - Slag,4,3.1,yd3,m3,973K,114089,Buckets
Width - Landfill,117,2971.8,in,mm,973K,114089,Buckets
Capacity - Landfill,6.4,4.9,yd3,m3,973K,114089,Buckets
Fuel Tank,101.5,384.3,gal,L,973K,114089,Service Refill Capacities
Def Tank,9.2,34.9,gal,L,973K,114089,Service Refill Capacities
Air Conditioning,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.89 kg of refrigerant which has a CO2 equivalent of 2.717 metric tonnes.,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.89 kg of refrigerant which has a CO2 equivalent of 2.717 metric tonnes.,,,973K,114089,Air Conditioning System
Displacement,305,5,cu in,L,939C Hystat,114090,Engine
Flywheel Power,90,67.2,hp,kw,939C Hystat,114090,Engine
Power - Gross,99,73.9,hp,kw,939C Hystat,114090,Engine
Operating Weight,20908,9483.8,lb,kg,939C Hystat,114090,Operational
Maximum Operating Height,172.6,4384.1,in,mm,939C Hystat,114090,Operating Specifications
Digging Depth,5,127,in,mm,939C Hystat,114090,Operating Specifications
Static Tipping Load - Sae,14565,6606.6,lb,kg,939C Hystat,114090,Operating Specifications
Sae Specified Dump Angle,2.9,2.83,degrees,degrees,939C Hystat,114090,Operating Specifications
Capacity - General Purpose,1.5,1.2,yd3,m3,939C Hystat,114090,Operating Specifications
Dump Clearance At Full Height And 45 Degrees Discharge,105,2667,in,mm,939C Hystat,114090,Operating Specifications
Breakout Force - Sae,20200,9162.6,lb,kg,939C Hystat,114090,Operating Specifications
Maximum Rollback - Carry Position,50.2,50.2,degrees,degrees,939C Hystat,114090,Operating Specifications
Reach - Full Length Height,34,863.6,in,mm,939C Hystat,114090,Operating Specifications
Maximum Rollback - Fully Raised,64.9,64.9,degrees,degrees,939C Hystat,114090,Operating Specifications
Net Power,148,110.4,hp,kw,953D SH,114092,Engine
Displacement,402.8,6.7,cu in,L,953D SH,114092,Engine
Bore,4.2,105,in,mm,953D SH,114092,Engine
Stroke,5,127,in,mm,953D SH,114092,Engine
Engine Model,Cat C6.6 ACERT,Cat C6.6 ACERT,,,953D SH,114092,Engine
Net Flywheel Power,148,110.4,hp,kw,953D SH,114092,Engine
Regulations,"Rating at 2,000 rpm","Rating at 2,000 rpm",,,953D SH,114092,Engine
Operating Weight - Gp Bucket With Teeth,34229,15526.1,lb,kg,953D SH,114092,Weights
Operating Weight - Trim Blade All Material,33726,15297.9,lb,kg,953D SH,114092,Weights
Operating Weight - With Gp Bucket And Teeth,34229,15526.1,lb,kg,953D SH,114092,Weights
Operating Weight - With Trim Blade,33726,15297.9,lb,kg,953D SH,114092,Weights
Capacity - General Purpose,2.5,1.9,yd3,m3,953D SH,114092,Buckets
Bucket Width - General Purpose,97.8,2484.2,in,mm,953D SH,114092,Buckets
Capacity - Multi-Purpose,2.1,1.6,yd3,m3,953D SH,114092,Buckets
Bucket Width - Multi-Purpose,97.3,2471.5,in,mm,953D SH,114092,Buckets
Capacity - Gp,2.5,1.9,yd3,m3,953D SH,114092,Buckets
Capacity - Mp,2.1,1.6,yd3,m3,953D SH,114092,Buckets
Trim Blade Capacity - All Material,2.1,1.6,yd3,m3,953D SH,114092,Blade
Trim Blade Capacity - Coal,Can be designed at order,Can be designed at order,,,953D SH,114092,Blade
Track Motor,"Two, variable displacement, bent axis motors","Two, variable displacement, bent axis motors",,,953D SH,114092,Drive System
Drive System Type,Drive System Hydrostatic drive with infinite machine speeds to 10.0 km/h (6.2 mph),Drive System Hydrostatic drive with infinite machine speeds to 10.0 km/h (6.2 mph),,,953D SH,114092,Drive System
Drive Pump,"Two, variable-displacement, slipper-type axial piston pumps","Two, variable-displacement, slipper-type axial piston pumps",,,953D SH,114092,Drive System
Relief Valve Setting,6961.8 psi,6961.8 psi,,,953D SH,114092,Drive System
Fuel Tank,83.5,316.1,gal,L,953D SH,114092,Main Service Refills
Cooling System,8,30.3,gal,L,953D SH,114092,Main Service Refills
Hydraulic Tank,18.5,70.1,gal,L,953D SH,114092,Main Service Refills
Capacity - All Material,3,2.3,yd3,m3,953D SH,114092,Trim Blade
Net Power,189,141,hp,kw,963D SH,114093,Engine
Displacement,402.8,6.7,cu in,L,963D SH,114093,Engine
Bore,4.2,105,in,mm,963D SH,114093,Engine
Stroke,5,127,in,mm,963D SH,114093,Engine
Engine Model,Cat C6.6 ACERT,Cat C6.6 ACERT,,,963D SH,114093,Engine
Net Flywheel Power,189,141,hp,kw,963D SH,114093,Engine
Regulations,"Rating at 2,000 rpm","Rating at 2,000 rpm",,,963D SH,114093,Engine
Operating Weight - Gp Bucket With Teeth,47236,21425.9,lb,kg,963D SH,114093,Weights
Operating Weight - Trim Blade All Material,46470,21078.5,lb,kg,963D SH,114093,Weights
Operating Weight - With Gp Bucket And Teeth,47236,21425.9,lb,kg,963D SH,114093,Weights
Operating Weight - With Trim Blade,46740,21201,lb,kg,963D SH,114093,Weights
Capacity - General Purpose,3.2,2.5,yd3,m3,963D SH,114093,Buckets
Bucket Width - General Purpose,102.8,2611.2,in,mm,963D SH,114093,Buckets
Capacity - Multi-Purpose,2.5,1.9,yd3,m3,963D SH,114093,Buckets
Bucket Width - Multi-Purpose,101.3,2573.1,in,mm,963D SH,114093,Buckets
Capacity - Gp,3.2,2.5,yd3,m3,963D SH,114093,Buckets
Capacity - Mp,2.5,1.9,yd3,m3,963D SH,114093,Buckets
Trim Blade Capacity - All Material,4.2,3.3,yd3,m3,963D SH,114093,Blade
Trim Blade Capacity - Coal,5.25 yd,5.25 yd,,,963D SH,114093,Blade
Track Motor,"Two, variable displacement, bent axis motors","Two, variable displacement, bent axis motors",,,963D SH,114093,Drive System
Drive System Type,Drive System Hydrostatic drive with infinite machine speeds to 10.0 km/h (6.2 mph),Drive System Hydrostatic drive with infinite machine speeds to 10.0 km/h (6.2 mph),,,963D SH,114093,Drive System
Drive Pump,"Two, variable-displacement, slipper-type axial piston pumps","Two, variable-displacement, slipper-type axial piston pumps",,,963D SH,114093,Drive System
Relief Valve Setting,6961.8 psi,6961.8 psi,,,963D SH,114093,Drive System
Fuel Tank,105.7,400.2,gal,L,963D SH,114093,Main Service Refills
Cooling System,9,34.1,gal,L,963D SH,114093,Main Service Refills
Hydraulic Tank,23.7,89.8,gal,L,963D SH,114093,Main Service Refills
Capacity - All Material,4.3,3.3,yd3,m3,963D SH,114093,Trim Blade
Capacity - Coal,5.3,4.1,yd3,m3,963D SH,114093,Trim Blade
Emissions,"U.S. EPA Tier 4 Final/EU Stage IV, China Nonroad Stage III, equivalent to Tier 3/Stage IIIA","U.S. EPA Tier 4 Final/EU Stage IV, China Nonroad Stage III, equivalent to Tier 3/Stage IIIA",,,963K,114088,Engine
Engine Model,Cat C7.1 ACERT,Cat C7.1 ACERT,,,963K,114088,Engine
Flywheel Power,193,144,hp,kw,963K,114088,Engine
Note (1),"All nonroad Tier 4 Interim and Final, Stage IIIB and IV and Korea Tier 4 Final diesel engines are required to use only Ultra Low Sulfur Diesel (ULSD) with 15 ppm (mg/kg) of sulfur or less, or up to B20 biodiesel blended with ULSD. B20 should meet ASTM D7467 specification (biodiesel blend stock should meet Cat biodiesel spec, ASTM D6751 or EN 14214). Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specification are required. Consult your OMM for further machine specific fuel recommendations.","All nonroad Tier 4 Interim and Final, Stage IIIB and IV and Korea Tier 4 Final diesel engines are required to use only Ultra Low Sulfur Diesel (ULSD) with 15 ppm (mg/kg) of sulfur or less, or up to B20 biodiesel blended with ULSD. B20 should meet ASTM D7467 specification (biodiesel blend stock should meet Cat biodiesel spec, ASTM D6751 or EN 14214). Cat DEO-ULS or oils that meet the Cat ECF-3, API CJ-4, and ACEA E9 specification are required. Consult your OMM for further machine specific fuel recommendations.",,,963K,114088,Engine
Note (2),Diesel Exhaust Fluid (DEF) used in Cat Selective Catalytic Reduction (SCR) systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241.,Diesel Exhaust Fluid (DEF) used in Cat Selective Catalytic Reduction (SCR) systems must meet the requirements outlined in the International Organization for Standardization (ISO) standard 22241.,,,963K,114088,Engine
Net Power - Iso 9249/Sae J1349 (Din),196,146.2,hp,kw,963K,114088,Engine
Net Power - Iso 9249/Sae J1349,193,144,hp,kw,963K,114088,Engine
Operating Weight,44138,20020.7,lb,kg,963K,114088,Operational
Note,(1) Machine equipped with Tier 4 Final/Stage IV emissions reduction technology.,(1) Machine equipped with Tier 4 Final/Stage IV emissions reduction technology.,,,963K,114088,Weights
Operating Weight(1),44771,20307.8,lb,kg,963K,114088,Weights
Capacity - General Purpose,3.2,2.5,yd3,m3,963K,114088,Buckets
Capacity - Multi-Purpose,2.6,2,yd3,m3,963K,114088,Buckets
Capacity - Performance Series,3.7,2.9,yd3,m3,963K,114088,Buckets
Width - General Purpose,102.8,2611.2,in,mm,963K,114088,Buckets
Width - Performance Series,106.8,2712.8,in,mm,963K,114088,Buckets
Width - Multi-Purpose,101.3,2573.1,in,mm,963K,114088,Buckets
Fuel Tank,84.5,319.9,gal,L,963K,114088,Service Refill Capacities
Note,(1) Machine equipped with Tier 4 Final/Stage IV emissions reduction technology.,(1) Machine equipped with Tier 4 Final/Stage IV emissions reduction technology.,,,963K,114088,Service Refill Capacities
Def Tank(1),4.3,16,gal,L,963K,114088,Service Refill Capacities
Air Conditioning,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.1 kg of refrigerant which has a CO2 equivalent of 1.573 metric tonnes.,The air conditioning system on this machine contains the fluorinated greenhouse gas refrigerant R134a (Global Warming Potential = 1430). The system contains 1.1 kg of refrigerant which has a CO2 equivalent of 1.573 metric tonnes.,,,963K,114088,Air Conditioning System
Number Of Cylinders,4,4,,,955K,103760,Engine
Engine Make,2236,2236,,,955K,103760,Engine
Engine Model,D330,D330,,,955K,103760,Engine
Net Power,115,85.8,hp,kw,955K,103760,Engine
Power Measured @,2185,2185,rpm,rpm,955K,103760,Engine
Aspiration,turbocharged,turbocharged,,,955K,103760,Engine
Displacement,427.2,7,cu in,L,955K,103760,Engine
Operating Weight,28000,12700.6,lb,kg,955K,103760,Operational
Fuel Capacity,57.1,216,gal,L,955K,103760,Operational
Cooling System Fluid Capacity,11.1,42,gal,L,955K,103760,Operational
Engine Oil Capacity,5,18.9,gal,L,955K,103760,Operational
Final Drive Fluid Capacity - Each,2.6,9.5,gal,L,955K,103760,Operational
Hydraulic System Fluid Capacity,25.9,98,gal,L,955K,103760,Operational
Bucket Capacity - Struck,1.5,1.2,yd3,m3,955K,103760,Operational
Bucket Capacity - Heaped,1.8,1.4,yd3,m3,955K,103760,Operational
Max Speed,7,11.3,mph,km/h,955K,103760,Operational
Number Of Cylinders,6,6,,,963C,93236,Engine
Engine Make,2236,2236,,,963C,93236,Engine
Engine Model,3126B ATAAC,3126B ATAAC,,,963C,93236,Engine
Net Power,158,117.9,hp,kw,963C,93236,Engine
Power Measured @,2000,2000,rpm,rpm,963C,93236,Engine
Aspiration,Turbocharged,Turbocharged,,,963C,93236,Engine
Displacement,439.4,7.2,cu in,L,963C,93236,Engine
Operating Weight,43186.4,19589,lb,kg,963C,93236,Operational
Fuel Capacity,83.3,315,gal,L,963C,93236,Operational
Cooling System Fluid Capacity,8.1,30.5,gal,L,963C,93236,Operational
Engine Oil Capacity,7.4,28,gal,L,963C,93236,Operational
Final Drive Fluid Capacity - Each,4,15,gal,L,963C,93236,Operational
Hydraulic System Fluid Capacity,42.3,160,gal,L,963C,93236,Operational
Static Tipping Load,29903.6,13564,lb,kg,963C,93236,Operational
Breakout Force - Std Bucket,43133,191.9,lb,kN,963C,93236,Operational
Bucket Capacity - Struck,2.7,2,yd3,m3,963C,93236,Operational
Bucket Capacity - Heaped,3.1,2.3,yd3,m3,963C,93236,Operational
Operating Voltage,12,12,V,V,963C,93236,Operational
Alternator Supplied Amperage,70,70,amps,amps,963C,93236,Operational
Max Speed,6.1,9.7,mph,km/h,963C,93236,Operational
Pump Type,VANE,VANE,,,963C,93236,Hydraulic
Pump Flow Capacity,56.8,215,gal/min,L/min,963C,93236,Hydraulic
Relief Valve Pressure,3045,20994.6,psi,kPa,963C,93236,Hydraulic
Raise Time,6.6,6.6,sec,sec,963C,93236,Hydraulic
Dump Time,1.3,1.3,sec,sec,963C,93236,Hydraulic
Lower Time,2.1,2.1,sec,sec,963C,93236,Hydraulic
Battery Voltage,12,12,,,953C,93235,Electrical System
Alternator,"70 Amps, Heavy-Duty Brushless","70 Amps, Heavy-Duty Brushless",,,953C,93235,Electrical System
Electrical System Type,24V DC,24V DC,,,953C,93235,Electrical System
Battery Capacity,750 CCA,750 CCA,,,953C,93235,Electrical System
Battery Quantity,2,2,,,953C,93235,Electrical System
Number Of Cylinders,6,6,,,953C,93235,Engine
Engine Make,2236,2236,,,953C,93235,Engine
Engine Model,3126B ATAAC,3126B ATAAC,,,953C,93235,Engine
Net Power,128,95.5,hp,kw,953C,93235,Engine
Power Measured @,2000,2000,rpm,rpm,953C,93235,Engine
Aspiration,Turbocharged,Turbocharged,,,953C,93235,Engine
Displacement,442,7.3,cu in,L,953C,93235,Engine
Bore,4.4,110,in,mm,953C,93235,Engine
Stroke,5,127,in,mm,953C,93235,Engine
Net Power - Iso 9249,128,95.5,hp,kw,953C,93235,Engine
Net Power - Sae J1349,128,95.5,hp,kw,953C,93235,Engine
Engine Model,Cat 3126B ATAAC,Cat 3126B ATAAC,,,953C,93235,Engine
Flywheel Power,128,95.5,hp,kw,953C,93235,Engine
Net Power - Eec 80/1269,128,95.5,hp,kw,953C,93235,Engine
Net Power - Caterpillar,128,95.5,hp,kw,953C,93235,Engine
Operating Weight,32895.2,14921,lb,kg,953C,93235,Operational
Fuel Capacity,63.7,241,gal,L,953C,93235,Operational
Cooling System Fluid Capacity,6.9,26,gal,L,953C,93235,Operational
Engine Oil Capacity,4.8,18,gal,L,953C,93235,Operational
Final Drive Fluid Capacity - Each,4.1,15.5,gal,L,953C,93235,Operational
Hydraulic System Fluid Capacity,29.1,110,gal,L,953C,93235,Operational
Static Tipping Load,23565.3,10689,lb,kg,953C,93235,Operational
Breakout Force - Std Bucket,21400,95.2,lb,kN,953C,93235,Operational
Bucket Capacity - Struck,1.7,1.3,yd3,m3,953C,93235,Operational
Bucket Capacity - Heaped,2,1.5,yd3,m3,953C,93235,Operational
Operating Voltage,12,12,V,V,953C,93235,Operational
Alternator Supplied Amperage,70,70,amps,amps,953C,93235,Operational
Max Speed,5.7,9.2,mph,km/h,953C,93235,Operational
Operating Weight,33389,15145,lb,kg,953C,93235,Weights
Shipping Weight - Without Bucket,30274,13732.1,lb,kg,953C,93235,Weights
Capacity - General Purpose,2.5,1.9,yd3,m3,953C,93235,Buckets
Bucket Width - General Purpose,93.7,2380,in,mm,953C,93235,Buckets
Capacity - Multi-Purpose,2.1,1.6,yd3,m3,953C,93235,Buckets
Bucket Width - Multi-Purpose,93.6,2377.5,in,mm,953C,93235,Buckets
Pump Type,VANE,VANE,,,953C,93235,Hydraulic
Pump Flow Capacity,31.8,120,gal/min,L/min,953C,93235,Hydraulic
Relief Valve Pressure,3481,24000.7,psi,kPa,953C,93235,Hydraulic
Raise Time,6.9,6.9,sec,sec,953C,93235,Hydraulic
Dump Time,1.3,1.3,sec,sec,953C,93235,Hydraulic
Lower Time,2.6,2.6,sec,sec,953C,93235,Hydraulic
Maximum Travel Speed,5.7,9.2,mph,km/h,953C,93235,Operating Specifications
Cooling System,6.9,26.2,gal,L,953C,93235,Service Refill Capacities
Fuel Tank,62,234.7,gal,L,953C,93235,Service Refill Capacities
Final Drive - Each,4.1,15.6,gal,L,953C,93235,Service Refill Capacities
Hydraulic Tank,17.7,67.1,gal,L,953C,93235,Service Refill Capacities
Crankcase - With Filter,4.8,18.2,gal,L,953C,93235,Service Refill Capacities
Pivot Shaft,0.2,0.8,gal,L,953C,93235,Service Refill Capacities
Pump Drive Box,1,3.8,gal,L,953C,93235,Service Refill Capacities
"Hydraulic System - Equipment, Power Train And Tank",29.1,110.2,gal,L,953C,93235,Service Refill Capacities
Relief Valve Setting,413 psi,413 psi,,,953C,93235,Hydraulic System - Pilot
Cycle Time - Raise,6.9 s,6.9 s,,,953C,93235,Hydraulic System - Pilot
Cycle Time - Dump,1.3 s,1.3 s,,,953C,93235,Hydraulic System - Pilot
"Cycle Time - Lower, Empty, Float Down",2.6 s,2.6 s,,,953C,93235,Hydraulic System - Pilot
Cycle Time - Raise And Dump,5.8 s,5.8 s,,,953C,93235,Hydraulic System - Pilot
Output - Maximum,3.2 gal/min,3.2 gal/min,,,953C,93235,Hydraulic System - Pilot
Brakes,Brakes,Brakes,,,953C,93235,Standards
Rops/Fops,ROPS/FOPS,ROPS/FOPS,,,953C,93235,Standards
Cab,Cab,Cab,,,953C,93235,Standards
Track Motor,"Two, variable-displacement, link-type piston motors","Two, variable-displacement, link-type piston motors",,,953C,93235,Drive System
Drive System Type,Hydrostatic drive with infinite machine speeds to 9.2 km/h (5.7 mph),Hydrostatic drive with infinite machine speeds to 9.2 km/h (5.7 mph),,,953C,93235,Drive System
Drive Pump,"Two, variable-displacement, slipper-type axial piston pumps","Two, variable-displacement, slipper-type axial piston pumps",,,953C,93235,Drive System
Relief Valve Setting,6380 psi,6380 psi,,,953C,93235,Drive System
Hydraulic System - Equipment Type,Vane,Vane,,,953C,93235,Hydraulic System - Equipment
Main Relief Valve Setting,3481 psi,3481 psi,,,953C,93235,Hydraulic System - Equipment
Output,31.7 gal/min,31.7 gal/min,,,953C,93235,Hydraulic System - Equipment
Lift Cylinder - Bore,4.8,120.7,in,mm,953C,93235,Hydraulic System - Equipment
Lift Cylinder - Stroke,28,711.2,in,mm,953C,93235,Hydraulic System - Equipment
Tilt Cylinder - Bore,5.5,139.7,in,mm,953C,93235,Hydraulic System - Equipment
