subparam,value1,value2,unit1,unit2,modelname,modelid,specifications.topparam
Net Power - Iso 9249,185,138,hp,kw,D6T,113592,Engine
Net Power - Sae J1349,183,136.5,hp,kw,D6T,113592,Engine
Engine Model,Cat C9 ACERT,Cat C9 ACERT,,,D6T,113592,Engine
Flywheel Power,200,149.2,hp,kw,D6T,113592,Engine
Gross Power - Iso 14396,220,164.1,hp,kw,D6T,113592,Engine
Net Power - Din 70020,192 PS,192 PS,,,D6T,113592,Engine
Net Power - Caterpillar,185,138,hp,kw,D6T,113592,Engine
Net Power - Eu 80/1269,185,138,hp,kw,D6T,113592,Engine
Operating Weight,44418,20147.7,lb,kg,D6T,113592,Operational
2.0 Forward,3.2,5.2,mph,km/h,D6T,113592,Transmission
3.0 Forward,5.3,8.6,mph,km/h,D6T,113592,Transmission
2.0 Reverse,4.1,6.6,mph,km/h,D6T,113592,Transmission
3.0 Reverse,6.8,11,mph,km/h,D6T,113592,Transmission
1.5 Forward,2.4,3.8,mph,km/h,D6T,113592,Transmission
2.5 Forward,4.1,6.6,mph,km/h,D6T,113592,Transmission
1.5 Reverse,3,4.9,mph,km/h,D6T,113592,Transmission
2.5 Reverse,5.3,8.5,mph,km/h,D6T,113592,Transmission
3.5 Forward,7.2,11.5,mph,km/h,D6T,113592,Transmission
3.5 Reverse,9.1,14.6,mph,km/h,D6T,113592,Transmission
Shipping Weight,36974,16771.2,lb,kg,D6T,113592,Weights
Operating Weight - Xl A,44795,20318.7,lb,kg,D6T,113592,Weights
Shipping Weight - Xl A,37589,17050.1,lb,kg,D6T,113592,Weights
Operating Weight - Xl Su,45082,20448.9,lb,kg,D6T,113592,Weights
Shipping Weight - Xl Su,37589,17050.1,lb,kg,D6T,113592,Weights
Operating Weight - Xw A,47576,21580.2,lb,kg,D6T,113592,Weights
Shipping Weight - Xw A,39174,17769.1,lb,kg,D6T,113592,Weights
Operating Weight - Xw Su,46961,21301.2,lb,kg,D6T,113592,Weights
Shipping Weight - Xw Su,39174,17769.1,lb,kg,D6T,113592,Weights
Operating Weight - Xw Vpat,52031,23600.9,lb,kg,D6T,113592,Weights
Shipping Weight - Xw Vpat,39591,17958.2,lb,kg,D6T,113592,Weights
Operating Weight - Lgp S,48588,22039.2,lb,kg,D6T,113592,Weights
Shipping Weight - Lgp S,41471,18811,lb,kg,D6T,113592,Weights
Operating Weight - Lgp Vpat,53178,24121.2,lb,kg,D6T,113592,Weights
Shipping Weight - Lgp Vpat,40783,18498.9,lb,kg,D6T,113592,Weights
Shipping Weight - Lgp A,41471,18811,lb,kg,D6T,113592,Weights
Operating Weight - Lgp A,50869,23073.8,lb,kg,D6T,113592,Weights
Shipping Weight - Std A,35860,16265.9,lb,kg,D6T,113592,Weights
Shipping Weight - Std Su,42834,19429.2,lb,kg,D6T,113592,Weights
Operating Weight - Xl Vpat,51041,23151.9,lb,kg,D6T,113592,Weights
Shipping Weight - Xl Vpat,38865,17628.9,lb,kg,D6T,113592,Weights
Cooling System,20.3,76.9,gal,L,D6T,113592,Service Refill Capacities
Fuel Tank,112,424,gal,L,D6T,113592,Service Refill Capacities
Final Drive - Each,3.6,13.7,gal,L,D6T,113592,Service Refill Capacities
Hydraulic Tank,13.6,51.5,gal,L,D6T,113592,Service Refill Capacities
Engine Crankcase,7.4,28.1,gal,L,D6T,113592,Service Refill Capacities
Power Train,38.5,145.8,gal,L,D6T,113592,Service Refill Capacities
Pivot Shaft Compartment,1.3,5,gal,L,D6T,113592,Service Refill Capacities
Roller Frames - Each,6.5,24.7,gal,L,D6T,113592,Service Refill Capacities
Brakes,Brakes meet criterion SAE J/ISO 10265 MAR99,Brakes meet criterion SAE J/ISO 10265 MAR99,,,D6T,113592,Standards
Rops/Fops,"ROPS meets criteria SAE J395, SAE 1040 MAY 94, ISO 3471-1994/FOPS meets ISO 3449-1992 Level II","ROPS meets criteria SAE J395, SAE 1040 MAY 94, ISO 3471-1994/FOPS meets ISO 3449-1992 Level II",,,D6T,113592,Standards
Cab,Meets appropriate standards as listed below.,Meets appropriate standards as listed below.,,,D6T,113592,Standards
Pressure Setting - Steering,6048 psi,6048 psi,,,D6T,113592,Hydraulic Controls - Main Relief Valve
Pressure Setting - Implement - Non-Vpat,3147 psi,3147 psi,,,D6T,113592,Hydraulic Controls - Main Relief Valve
Pressure Setting - Implement - Vpat,3545 psi,3545 psi,,,D6T,113592,Hydraulic Controls - Main Relief Valve
Lift Cylinder Flow,49.9 gal/min,49.9 gal/min,,,D6T,113592,Hydraulic Controls - Pump
Ripper Cylinder Flow,49.9 gal/min,49.9 gal/min,,,D6T,113592,Hydraulic Controls - Pump
Pump Output - Steering,47.3 gal/min,47.3 gal/min,,,D6T,113592,Hydraulic Controls - Pump
Pump Output - Implement,49.9 gal/min,49.9 gal/min,,,D6T,113592,Hydraulic Controls - Pump
Tilt Cylinder Flow,21.1 gal/min,21.1 gal/min,,,D6T,113592,Hydraulic Controls - Pump
Rpm At Rated Engine Speed - Steering,2625,2625,rpm,rpm,D6T,113592,Hydraulic Controls - Pump
Angle Cylinder Flow - Vpat,44.9 gal/min,44.9 gal/min,,,D6T,113592,Hydraulic Controls - Pump
Rpm At Rated Engine Speed - Implement,1965,1965,rpm,rpm,D6T,113592,Hydraulic Controls - Pump
Flange Diameter,19.8,503,in,mm,D6T,113592,Winch
Oil Capacity,17.8,67.4,gal,L,D6T,113592,Winch
Winch And Bracket Length,47.6,1209.1,in,mm,D6T,113592,Winch
Drum Capacity - 22 Mm (0.88 In),290,88.4,ft in,m,D6T,113592,Winch
Drum Diameter,10,254,in,mm,D6T,113592,Winch
Drum Width,13,330.2,in,mm,D6T,113592,Winch
Winch Case - Width,38.4,975.4,in,mm,D6T,113592,Winch
Increased Tractor Length - Std,20.4,518.2,in,mm,D6T,113592,Winch
Maximum Bare Drum - Line Pull,89800,40732.6,lb,kg,D6T,113592,Winch
Increased Tractor Length - Lgp,15.6,396.3,in,mm,D6T,113592,Winch
Drum Capacity - 29 Mm (1.13 In),220,67.1,ft in,m,D6T,113592,Winch
Ferrule Size (O.D.  Length),54  67 mm   2.10  2.63 in,54  67 mm   2.10  2.63 in,,,D6T,113592,Winch
Increased Tractor Length - Xl/Xw,20.4,518.2,in,mm,D6T,113592,Winch
Drum Capacity - 25 Mm (1.0 In),220,67.1,ft in,m,D6T,113592,Winch
Weight,2600,1179.4,lb,kg,D6T,113592,Winch
Rated Bare Drum Line Pull (2),59100,26807.4,lb,kg,D6T,113592,Winch
Rated Bare Drum Line Pull (1),70000,31751.5,lb,kg,D6T,113592,Winch
Winch Model (1),PA56 Optional Gearing,PA56 Optional Gearing,,,D6T,113592,Winch
Recommended Rope (22mm/ 0.88in),180,54.9,ft in,m,D6T,113592,Winch
Optional Rope (25mm/1.0 In),163,49.7,ft in,m,D6T,113592,Winch
Oil Refill Capacity,17.8,67.4,gal,L,D6T,113592,Winch
Winch Case - Length,47.6,1209.1,in,mm,D6T,113592,Winch
Winch Model (2),PA56,PA56,,,D6T,113592,Winch
Gross Power - Sae J1995,213,158.9,hp,kw,D6T,113592,Engine - Std
Gross Power - Iso 14396,204,152.2,hp,kw,D6T,113592,Engine - Std
Net Power - Sae J1349,185,138,hp,kw,D6T,113592,Engine - Std
Net Power - 80/1269/Eec,185,138,hp,kw,D6T,113592,Engine - Std
Bore,4.4,111.8,in,mm,D6T,113592,Engine - Std
Displacement,537,8.8,cu in,L,D6T,113592,Engine - Std
Engine Emissions,U.S. EPA Tier 3/EUStage IIIA/MLITStep 3,U.S. EPA Tier 3/EUStage IIIA/MLITStep 3,,,D6T,113592,Engine - Std
Engine Model,Cat C9 ACERT,Cat C9 ACERT,,,D6T,113592,Engine - Std
Net Power - Iso 9249,185,138,hp,kw,D6T,113592,Engine - Std
Stroke,5.9,149.9,in,mm,D6T,113592,Engine - Std
Gross Power - Sae J1995,228,170.1,hp,kw,D6T,113592,Engine - Xl/Lgp
Gross Power - Iso 14396,219,163.4,hp,kw,D6T,113592,Engine - Xl/Lgp
Net Power - Sae J1349,200,149.2,hp,kw,D6T,113592,Engine - Xl/Lgp
Net Power - 80/1269/Eec,200,149.2,hp,kw,D6T,113592,Engine - Xl/Lgp
Engine Model,Cat C9 ACERT,Cat C9 ACERT,,,D6T,113592,Engine - Xl/Lgp
Engine Emissions,U.S. EPA Tier 3/EUStage IIIA/MLITStep 3,U.S. EPA Tier 3/EUStage IIIA/MLITStep 3,,,D6T,113592,Engine - Xl/Lgp
Bore,4.4,111.8,in,mm,D6T,113592,Engine - Xl/Lgp
Stroke,5.9,149.9,in,mm,D6T,113592,Engine - Xl/Lgp
Displacement,537,8.8,cu in,L,D6T,113592,Engine - Xl/Lgp
Net Power - Iso 9249,200,149.2,hp,kw,D6T,113592,Engine - Xl/Lgp
Gross Power,228,170.1,hp,kw,D6T,113592,Engine - Xl/Xw/Lgp
Net Power - Caterpillar,200,149.2,hp,kw,D6T,113592,Engine - Xl/Xw/Lgp
Net Power - Iso 9249,200,149.2,hp,kw,D6T,113592,Engine - Xl/Xw/Lgp
Net Power - Eu 80/1269,200,149.2,hp,kw,D6T,113592,Engine - Xl/Xw/Lgp
Net Power - Sae J1349,198,147.7,hp,kw,D6T,113592,Engine - Xl/Xw/Lgp
Bore,4.4,111.8,in,mm,D6T,113592,Engine - Xl/Xw/Lgp
Stroke,5.9,149.9,in,mm,D6T,113592,Engine - Xl/Xw/Lgp
Displacement,537,8.8,cu in,L,D6T,113592,Engine - Xl/Xw/Lgp
Net Power - Din 70020,207 PS,207 PS,,,D6T,113592,Engine - Xl/Xw/Lgp
Gross Power - Iso 14396,220,164.1,hp,kw,D6T,113592,Engine - Xl/Xw/Lgp
Bulldozer - Tilt,2799 psi,2799 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Non-Vpat)
Bulldozer - Lift,2799 psi,2799 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Non-Vpat)
Ripper,2799 psi,2799 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Non-Vpat)
Bulldozer - Angle,3126 psi,3126 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Vpat)
Ripper,2799 psi,2799 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Vpat)
Bulldozer - Lift,3126 psi,3126 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Vpat)
Bulldozer - Tilt,3126 psi,3126 psi,,,D6T,113592,Hydraulic Controls - Maximum Operating Pressure (Vpat)
Beam Cross Section,219 mm  304 mm (8.8 in  12 in),219 mm  304 mm (8.8 in  12 in),,,D6T (Tier 4 Final),113594,Ripper
Number Of Pockets,3,3,,,D6T (Tier 4 Final),113594,Ripper
Ripper Type,Fixed Parallelogram,Fixed Parallelogram,,,D6T (Tier 4 Final),113594,Ripper
Pocket Spacing,3.3,0.1,ft in,m,D6T (Tier 4 Final),113594,Ripper
Shank Gauge,6.6,0.2,ft in,m,D6T (Tier 4 Final),113594,Ripper
Shank Section,74 mm  175 mm (2.9 in  6.9 in),74 mm  175 mm (2.9 in  6.9 in),,,D6T (Tier 4 Final),113594,Ripper
Overall Beam Width,87,2209.8,in,mm,D6T (Tier 4 Final),113594,Ripper
Weight - Each Additional Shank,161,73.1,lb,kg,D6T (Tier 4 Final),113594,Ripper
Maximum Penetration,18,457.2,in,mm,D6T (Tier 4 Final),113594,Ripper
Pry-Out Force,26190,11879.6,lb,kg,D6T (Tier 4 Final),113594,Ripper
Weight - With One Shank,3302,1497.8,lb,kg,D6T (Tier 4 Final),113594,Ripper
Maximum Penetration Force,14747,6689.2,lb,kg,D6T (Tier 4 Final),113594,Ripper
Ramp Angle,26 degrees,26 degrees,,,D6T (Tier 4 Final),113594,Ripper
Maximum Clearance Raised - Under Tip,20.2,513.1,in,mm,D6T (Tier 4 Final),113594,Ripper
Displacement,567,9.3,cu in,L,D6T (Tier 4 Final),113594,Engine
Bore,4.5,114.3,in,mm,D6T (Tier 4 Final),113594,Engine
Stroke,5.9,149.9,in,mm,D6T (Tier 4 Final),113594,Engine
Emissions,U.S. EPA Tier 4 Final,U.S. EPA Tier 4 Final,,,D6T (Tier 4 Final),113594,Engine
Engine Model,Cat C9.3 ACERT,Cat C9.3 ACERT,,,D6T (Tier 4 Final),113594,Engine
Flywheel Power,207,154.4,hp,kw,D6T (Tier 4 Final),113594,Engine
Net Power - Rated - Iso 9249/Sae J1349,207,154.4,hp,kw,D6T (Tier 4 Final),113594,Engine
Net Power - Maximum - Iso 9249/Sae J1349,241,179.8,hp,kw,D6T (Tier 4 Final),113594,Engine
Engine Power - Maximum - Iso 14396,255,190.2,hp,kw,D6T (Tier 4 Final),113594,Engine
Engine Power - Maximum - Sae J1995,257,191.7,hp,kw,D6T (Tier 4 Final),113594,Engine
Engine Power - Maximum - Iso 14396 (Din),258,192.4,hp,kw,D6T (Tier 4 Final),113594,Engine
Net Power - Rated - Iso 9249/Sae J1349 (Din),210,156.6,hp,kw,D6T (Tier 4 Final),113594,Engine
Net Power - Maximum - Iso 9249/Sae J1349 (Din),244,182,hp,kw,D6T (Tier 4 Final),113594,Engine
Drive Train Type,Mechanical,Mechanical,,,D6T (Tier 4 Final),113594,Drive Train
Operating Weight,46263,20984.6,lb,kg,D6T (Tier 4 Final),113594,Operational
1.0 Forward,2.3,3.8,mph,km/h,D6T (Tier 4 Final),113594,Transmission
2.0 Forward,4.1,6.6,mph,km/h,D6T (Tier 4 Final),113594,Transmission
3.0 Forward,7,11.3,mph,km/h,D6T (Tier 4 Final),113594,Transmission
1.0 Reverse,3,4.9,mph,km/h,D6T (Tier 4 Final),113594,Transmission
2.0 Reverse,5.2,8.4,mph,km/h,D6T (Tier 4 Final),113594,Transmission
3.0 Reverse,9,14.5,mph,km/h,D6T (Tier 4 Final),113594,Transmission
1.5 Forward,3,4.9,mph,km/h,D6T (Tier 4 Final),113594,Transmission
2.5 Forward,5.1,8.3,mph,km/h,D6T (Tier 4 Final),113594,Transmission
1.5 Reverse,3.8,6.2,mph,km/h,D6T (Tier 4 Final),113594,Transmission
2.5 Reverse,6.5,10.5,mph,km/h,D6T (Tier 4 Final),113594,Transmission
0.5 Forward,1.7,2.8,mph,km/h,D6T (Tier 4 Final),113594,Transmission
0.7 Forward,2.1,3.4,mph,km/h,D6T (Tier 4 Final),113594,Transmission
1.7 Forward,3.6,5.8,mph,km/h,D6T (Tier 4 Final),113594,Transmission
2.7 Forward,6.2,10,mph,km/h,D6T (Tier 4 Final),113594,Transmission
0.5 Reverse,2.2,3.6,mph,km/h,D6T (Tier 4 Final),113594,Transmission
0.7 Reverse,2.6,4.2,mph,km/h,D6T (Tier 4 Final),113594,Transmission
1.7 Reverse,4.6,7.5,mph,km/h,D6T (Tier 4 Final),113594,Transmission
2.7 Reverse,7.9,12.8,mph,km/h,D6T (Tier 4 Final),113594,Transmission
Drawbar Pull - 0.5-1.0 Forward,86000,116600.4,lb ft,Nm,D6T (Tier 4 Final),113594,Transmission
Drawbar Pull - 1.5-2.0 Forward,49800,67519.8,lb ft,Nm,D6T (Tier 4 Final),113594,Transmission
Drawbar Pull - 2.5-3.0 Forward,26800,36336,lb ft,Nm,D6T (Tier 4 Final),113594,Transmission
Operating Weight - Xl A,46791,21224.1,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Xl Su,46263,20984.6,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Xw A,48922,22190.7,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Xw Su,48034,21787.9,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Xw Vpat,53170,24117.6,lb,kg,D6T (Tier 4 Final),113594,Weights
Shipping Weight - Xw Vpat,45840,20792.7,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Lgp S,50490,22901.9,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Lgp Vpat,53651,24335.7,lb,kg,D6T (Tier 4 Final),113594,Weights
Shipping Weight - Lgp Vpat,48521,22008.8,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Lgp A,52954,24019.6,lb,kg,D6T (Tier 4 Final),113594,Weights
Operating Weight - Xl Vpat,52167,23662.6,lb,kg,D6T (Tier 4 Final),113594,Weights
Shipping Weight - Xl Vpat,47165,21393.7,lb,kg,D6T (Tier 4 Final),113594,Weights
Shipping Weight - Xl A/Su,39138,17752.7,lb,kg,D6T (Tier 4 Final),113594,Weights
Shipping Weight - Xw A/Su,40596,18414.1,lb,kg,D6T (Tier 4 Final),113594,Weights
Shipping Weight - Lgp S/A,43664,19805.7,lb,kg,D6T (Tier 4 Final),113594,Weights
Cooling System,13.4,50.8,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Fuel Tank,108.7,411.5,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Def Tank,4.5,17.1,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Final Drive - Each,3.6,13.7,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Hydraulic Tank,17.3,65.5,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Engine Crankcase,6.5,24.7,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Power Train,39.1,148.1,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Pivot Shaft Compartment,1.3,5,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Roller Frames - Each,6.6,25,gal,L,D6T (Tier 4 Final),113594,Service Refill Capacities
Brakes,Brakes meet the International Standard ISO 10265:2008,Brakes meet the International Standard ISO 10265:2008,,,D6T (Tier 4 Final),113594,Standards
Rops/Fops,"ROPS meets ISO 3471:2008, FOPS meets ISO 3449:2005 Level II","ROPS meets ISO 3471:2008, FOPS meets ISO 3449:2005 Level II",,,D6T (Tier 4 Final),113594,Standards
Cab,Meets appropriate standards,Meets appropriate standards,,,D6T (Tier 4 Final),113594,Standards
Lift Cylinder Flow,54 gal/min,54 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Ripper Cylinder Flow,54 gal/min,54 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Pump Output - Steering,52 gal/min,52 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Pump Output - Implement,54 gal/min,54 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Tilt Cylinder Flow,29 gal/min,29 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Angle Cylinder Flow - Vpat,50 gal/min,50 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Pump Output - Fan,25 gal/min,25 gal/min,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pump
Maximum Operating Pressures - Non-Vpat,2800 psi,2800 psi,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pressures
Maximum Operating Pressures - Vpat,3125 psi,3125 psi,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pressures
Steering,5800 psi,5800 psi,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pressures
Relief Pressures - Non-Vpat,3150 psi,3150 psi,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pressures
Relief Pressures - Vpat,3540 psi,3540 psi,,,D6T (Tier 4 Final),113594,Hydraulic Controls - Pressures
Oil Capacity,17.8,67.4,gal,L,D6T (Tier 4 Final),113594,Winch
Winch Model,PA56,PA56,,,D6T (Tier 4 Final),113594,Winch
Drum Capacity - 22 Mm (0.88 In),288.7,88,ft in,m,D6T (Tier 4 Final),113594,Winch
Winch Drive,Mechanical,Mechanical,,,D6T (Tier 4 Final),113594,Winch
Control,Mechanical,Mechanical,,,D6T (Tier 4 Final),113594,Winch
Drum Diameter,10,254,in,mm,D6T (Tier 4 Final),113594,Winch
Rope Diameter - Recommended,0.9,22.4,in,mm,D6T (Tier 4 Final),113594,Winch
Cable Ferrule Size - O.D.  Length,54 mm  67 mm (2.1 in  2.6 in),54 mm  67 mm (2.1 in  2.6 in),,,D6T (Tier 4 Final),113594,Winch
Maximum Bare Drum - Line Speed,130 ft/min,130 ft/min,,,D6T (Tier 4 Final),113594,Winch
Maximum Full Drum - Line Speed,224 ft/min,224 ft/min,,,D6T (Tier 4 Final),113594,Winch
Maximum Bare Drum - Line Pull,89800,40732.6,lb,kg,D6T (Tier 4 Final),113594,Winch
Maximum Full Drum - Line Pull,76300,34609.2,lb,kg,D6T (Tier 4 Final),113594,Winch
Increased Tractor Length - Lgp,14.4,365.8,in,mm,D6T (Tier 4 Final),113594,Winch
Increased Tractor Length - Xl/Xw,20.4,518.2,in,mm,D6T (Tier 4 Final),113594,Winch
Drum Capacity - 25 Mm (1.0 In),219.8,67,ft in,m,D6T (Tier 4 Final),113594,Winch
Weight,2652,1203,lb,kg,D6T (Tier 4 Final),113594,Winch
Rope Diameter - Optional,1,25.4,in,mm,D6T (Tier 4 Final),113594,Winch
Beam Cross Section,219 mm  254 mm (8.8 in  10 in),219 mm  254 mm (8.8 in  10 in),,,D6T (Tier 4 Interim/Stage IIIB),113595,Ripper
Number Of Pockets,3,3,,,D6T (Tier 4 Interim/Stage IIIB),113595,Ripper
Ripper Type,Fixed Parallelogram,Fixed Parallelogram,,,D6T (Tier 4 Interim/Stage IIIB),113595,Ripper
Pocket Spacing,3.3,0.1,ft in,m,D6T (Tier 4 Interim/Stage IIIB),113595,Ripper
Shank Gauge,6.6,0.2,ft in,m,D6T (Tier 4 Interim/Stage IIIB),113595,Ripper
Shank Section,74 mm  175 mm (2.9 in  6.9 in),74 mm  175 mm (2.9 in  6.9 in),,,D6T (Tier 4 Interim/Stage IIIB),113595,Ripper
